 host           organization                          location
 seaserv        Software and Engineering Associates,  Carson City, NV
 seaside        Sunset Pacific Datacomm               Santa Monica, CA
 seaweed        not a bit of it...                    Atlanta, Georgia
 secapl         Security APL, Inc.                    Chicago, Illinois
 sector         Polaris Inc., Sector Technology       Falls Church, VA
 secure         Cartmell Consulting                   Swannanoa, NC
 security       MITRE Corporation                     Bedford, MA
 secyt          Secretaria de Estado de Ciencia y Te  Argentina
 see            Electonic Telecommunication Research  Korea
 seer           Brad Lanam Walnut Creek               California
 segfault       Ron Guilmette Computing               Sunnyvale, CA
 segpc          Garfinkle Consulting                  Sunnyvale, CA
 seguin         Motorola, Inc.                        Seguin, Texas
 sei            Carnegie-Mellon University - Softwar  Pittsburgh, PA
 seich          SEI Information Technology, Chicago   Chicago, Illinois
 seidc          Silicon Engineering, Inc.             Scotts Valley, CA
 seila          SEI Information Technology, Los Ange  Los Angeles, CA
 seismo         Center for Seismic Studies            Arlington, VA
 seltd          Systems Essentials Limited            Newtown, CT
 selv1          SEL, UG Buerokommunikation            Germany
 semacgn        GFS-Metra Gesellschaft fuer Software  W Germany
 semantic       Relational Semantics, Inc.            Watertown, MA
 sendai         Digital Works Ltd.                    Ann Arbor, MI
 sensual        Home                                  Redmond, WA
 sep01          Terminals Unlimited                   La Costa, CA
 sephh          Somebody Else's Problem               Hamburg
 seq            Univ. of North Carolina at Wilmingto  North Carolina
 seqp4          Sequoia Systems, Inc.                 Marlborough, MA
 sequel         Sequel Technology                     Virginia
 sequent        Sequent Computer Systems, Inc.        Beaverton, Oregon
 sequim         Peter M. Black Real Estate Co., Inc.  Sequim, Washington
 sequoia        Execucom Systems Corp                 Austin, Texas
 serene         RF Engineering                        Del Mar, CA
 serenity       Serenity, Inc.                        Ohio
 serg           Ecosystem Research Laboratory of the  San Diego, CA
 serv223        Trimble Navigation                    Sunnyvale, CA
 serveme        GAGME Public Access UNIX System       Chicago, Illinois
 servio         Servio Corporation                    Beaverton, Oregon
 sesc           Harris Corporation, Lanier Business   Atlanta, Georgia
 sesc-com       Harris Corporation, Lanier Business   Atlanta, Georgia
 sessun         SES, Inc.                             Austin, Texas
 setech         SE Technologies, Inc.                 Bridgeville, PA
 sethwd         Set Engineering Inc.                  Morgan Hill, CA
 settech        Set Technology Corp.                  Boulder, Colorado
 settler        Settler City Fido                     South Africa
 seufert        Dr. Seufert GmbH                      Germany
 seusa          Sumitomo Electric USA Inc.            Torrance, CA
 sfamb          AmbraSoft ltd                         Finland
 sfgl           Societe Francaise de Genie Logiciel   France
 sfindigo       San Francisco Indigo Co.              San Fran, CA
 sflovers       Science Fiction Lovers Organization   Passaic, NJ
 sfn            Society for Neuroscience              Washington, DC
 sfrmc          St. Francis Regional Medical Center   Wichita, Kansas
 sfsun          Sun Microsystems, San Francisco Sale  San Francisco, CA
 sftl01         St Helen Church                       Ft Lauderdale, FL
 sftxmia        Tix by Phone of Miami, Inc., DBA BAS  Florida
 sftxsyd        Ticketek Pty. Ltd. New South Wales    Australia
 sga            Slavic Gospel Association             U S A
 sger           Symbolics GmbH                        Germany
 sgi            Silicon Graphics Computer Systems     Mountain View, CA
 sgihbtn        Sierra Geophysics, Inc.               Kirkland, WA
 sgs            Semi-Gas Systems                      San Jose, CA
 sgs-can        SGS Management Informations Services  Canada
 sgtech         Star Gate Technologies, Inc.          Solon, Ohio
 shaba          Taylor and Associates                 Newport Beach, CA
 shaboom        Story & Associates Software Consulti  Canada
 shada          Shada Computer Operations             Memphis, Tennessee
 shade          Ripley Computing/Consulting Services  Hancock, Michigan
 shadooby       Computing Center, The University of   Ann Arbor, MI
 shadow         Control Data Corporation              Atlanta, Georgia
 shady          ShadeTree Software, Inc.              Somerville, NJ
 shakti         National Centre for Software Technol  INDIA
 shaman         The Shaman Group                      Ithaca, New York
 shamash        Control Data Corporation, Computer    Arden Hills, MN
 shambala       The Conscious Interlude               Bellevue, WA
 shannon        Millennium Computer                   Sparks, Nevada
 shared         Shared Financial Systems              Dallas, Texas
 sharkey        Research Systems, ITD, The Universit  Ann Arbor, MI
 sharm          Sharmtech Systems Inc.                Canada
 shearson       Shearson Lehman Hutton                New York, New York
 shell          Shell Oil Co.                         Houston, Texas
 sheol          Wayne Throop                          Pittsboro, NC
 sherlock       The Shure Group                       Encinitas, CA
 sherpa2        ELDEC Corporation                     Lynnwood, WA
 shire          Penn State University, Computer Scie  University Park PA
 shirley        I-Cube Design Systems, Inc.           Oregon
 shiva          Indian Institute of Technology, Madr  INDIA
 shl            SHL Systemhouse Inc.                  Ontario
 shlfed         Systemhouse Federal Systems           Arlington, VA
 shlfedsys      Systemhouse Federal Systems           Arlington, VA
 shlhse         Systemhouse                           Arlington, VA
 shlny          Systemhouse                           New York, New York
 shockeye       Competitive Computer Systems, Lancas  Lancaster, PA
 shograf        SHOgraphics Inc.                      Mountain View, CA
 shom01         Christ Memorial Reformed Church       Holland, Michigan
 shonet         Computer Problem Solving              Kansas
 shop1          Shoprite Holdings Ltd.                Parow
 shop4          Shoprite Holdings Ltd.                Parow
 shortln        The Short Line System                 Concord, MA
 showcase       St. Petersburg Junior College         Clearwater, FL
 shower         Warm Fuzzies                          Portland, Oregon
 showsys        Uninet, peripherals division of Cust  Los Angelos Conven
 shpu1          Shippensburg University               Shippensburg, PA
 shraero        SCHRACK AEROSPACE Ges.m.b.H.          Austria
 shrug          Atlas Tube                            Ontario Canada
 shuksan        Man Machine Systems Technology        Seattle, WA
 shyoon         Digital Innovations, Inc.             Chelmsford, MA
 sia            System Integration Associates         Santa Monica, CA
 sialis         Southern Minnesota Wing Confederate   Minneapolis, MN
 siamese        Geoffrey G. Peck, Consultant          San Jose, CA
 sickkids       Hospital for Sick Children, Research  Canada
 sid3b2         University of Miami - Dept. of Engin  Coral Gables, FL
 sid3b2b        University of Miami - Dept. of Engin  Coral Gables, FL
 sidefx         Side Effects Software Inc.            Canada
 siebru         Siemens Brussel, afdeling VD43        Belgium
 siecomp        Siemens Components, Inc.              Santa Clara, CA
 siedap         Siemens AG, K D AP 42                 W Germany
 siemens        Siemens Corporate Research and Techn  Princeton, NJ
 sierra         Advanced System Design                Lincoln, Nebraska
 sierra7        Santa Monica College, Telecomm Dept.  Santa Monica, CA
 sierras        Sierra Software                       Friant, California
 sietph1        Siemens AG, ZFE TPH1                  W Germany
 sig01          The Signature Group                   Schaumburg, IL
 sigma          Summation Inc.                        Kirkland, WA
 sigmast        Sigma Systems Technology, Inc.        Buffalo, New York
 sigmet         SIGMET, Inc.                          Westford, MA
 signal         Modeled Technology Incorporated       Beaverton, Oregon
 signet         Sigma Network Systems, Inc.           Reading, MA
